type,code,parent_code,term,category,description
MDP,A1501,A15,Labeling / documentation issue,Device Problem,General labeling problem
MDP,A150101,A1501,Missing / incorrect label,Device Problem,Label missing or incorrect
MDP,A150102,A1501,Missing / incorrect expiration date,Device Problem,Expiration date error
MDP,A150103,A1501,Missing / incorrect lot / batch number,Device Problem,Lot or batch number error
MDP,A150104,A1501,Wrong UDI,Device Problem,Incorrect UDI on device
HARM,E01,,No clinical signs or symptoms or condition,Health Impact,No clinical impact observed
HARM,E0101,E01,No Harm,Health Impact,No harm occurred
HARM,E0102,E01,No Harm - Near Miss,Health Impact,Near miss with no harm
HARM,E02,,Minor Injury,Health Impact,Top-level category for minor injuries
HARM,E0201,E02,Minor Injury,Health Impact,General minor injury
HARM,E020101,E0201,Temporary pain / discomfort,Health Impact,Temporary pain or discomfort
HARM,E020102,E0201,Minor skin irritation / rash,Health Impact,Minor skin reaction
HARM,E020103,E0201,Minor bruising / swelling,Health Impact,Minor bruise or swelling
HARM,E0202,E02,Minor Injury - temporary,Health Impact,Temporary minor injury
HARM,E03,,Moderate Injury,Health Impact,Top-level category for moderate injuries
HARM,E0301,E03,Moderate Injury,Health Impact,General moderate injury
HARM,E030101,E0301,Infection - localized,Health Impact,Localized infection
HARM,E030102,E0301,Tissue damage - reversible,Health Impact,Reversible tissue damage
HARM,E030103,E0301,Burns - second degree,Health Impact,Second degree burns
HARM,E030104,E0301,Allergic reaction - moderate,Health Impact,Moderate allergic reaction
HARM,E0302,E03,Moderate Injury - temporary,Health Impact,Temporary moderate injury
HARM,E04,,Serious Injury,Health Impact,Top-level category for serious injuries
HARM,E0401,E04,Serious Injury,Health Impact,General serious injury
HARM,E040101,E0401,Hospitalization required,Health Impact,Required hospital admission
HARM,E040102,E0401,Surgical intervention required,Health Impact,Required surgical intervention
HARM,E040103,E0401,Life-threatening condition,Health Impact,Life-threatening clinical condition
HARM,E040104,E0401,Permanent tissue damage,Health Impact,Permanent tissue damage
HARM,E040105,E0401,Disability / incapacity,Health Impact,Disability or functional incapacity
HARM,E040106,E0401,Fetal / neonatal serious injury,Health Impact,Serious injury to fetus or neonate
HARM,E0402,E04,Serious Injury - permanent impairment,Health Impact,Permanent impairment from serious injury
HARM,E05,,Death,Health Impact,Top-level category for death
HARM,E0501,E05,Death,Health Impact,Patient death
HARM,E06,,Unknown,Health Impact,Top-level category for unknown harm
HARM,E0601,E06,Unknown / Not yet determined,Health Impact,Harm status unknown or under investigation
SYMPTOM_MAP,SM001,,Pain at procedure site,Symptom Mapping,Maps to: Temporary pain / discomfort (E020101) | MDP: Device operates differently than expected (A0201)
SYMPTOM_MAP,SM002,,Skin irritation,Symptom Mapping,Maps to: Minor skin irritation / rash (E020102) | MDP: Biocompatibility concern (A040105)
SYMPTOM_MAP,SM003,,Bleeding,Symptom Mapping,Maps to: Minor Injury (E0201) | MDP: Device breakage or deterioration (A0701)
SYMPTOM_MAP,SM004,,Infection,Symptom Mapping,Maps to: Infection - localized (E030101) | MDP: Breach of device sterility (A0101)
SYMPTOM_MAP,SM005,,Burns,Symptom Mapping,Maps to: Burns - second degree (E030103) | MDP: Overheating (electrical) (A080103)
SYMPTOM_MAP,SM006,,Device fragment retained,Symptom Mapping,Maps to: Surgical intervention required (E040102) | MDP: Fracture / break of device (A070101)
SYMPTOM_MAP,SM007,,Allergic reaction,Symptom Mapping,Maps to: Allergic reaction - moderate (E030104) | MDP: Biocompatibility concern (A040105)
SYMPTOM_MAP,SM008,,No adverse event,Symptom Mapping,Maps to: No Harm (E0101) | MDP: Device deficiency no consequences (A0301)
SYMPTOM_MAP,SM009,,Near miss,Symptom Mapping,Maps to: No Harm - Near Miss (E0102) | MDP: Device operates differently than expected (A0201)
SYMPTOM_MAP,SM010,,Death,Symptom Mapping,Maps to: Death (E0501) | MDP: Device operates differently than expected (A0201)
