complaint_id,event_date,awareness_date,device_model,device_name,udi,description,narrative,nonconformity,investigation_findings,failure_mode,device_problem,event_type,serious,outcome,symptom_code,fault_code,root_cause,region
C013,2023-11-27,2023-12-01,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,Operator reported difficulty in device deployment,Broken component,Confirmed no defect,Electrical failure,Incorrect Quantity in Package,Procedure Issue,0,Near Miss,productSticking,fault123,Mechanical jam,NorthAmerica
C014,2023-03-04,2023-03-13,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Foreign debris found in patient,Operator reported difficulty in device deployment,Misfired staple,Confirmed no defect,Misfire,Device Did Not Operate as Intended,Malfunction,1,Tissue Reaction,incorrectQuantity,,User error,Europe
C015,2023-04-28,2023-05-08,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,"Device did not operate as expected, causing near miss",Foreign particle inside device,Insufficient training,Breakage,Incorrect Quantity in Package,Procedure Issue,1,Tissue Reaction,rigidJoints,fault123,Mechanical jam,NorthAmerica
C016,2023-05-28,2023-05-31,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device failed to fire resulting in bleeding,Implant extruded unexpectedly,Misfired staple,Material tear,Failure to fire,Broken or damaged component,Use Error,1,Skin/Subcutaneous Injury (Laceration),productSticking,,Material degradation,Europe
C017,2023-10-13,2023-10-21,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Foreign debris found in patient,Operator reported difficulty in device deployment,Misfired staple,Mechanical jam,Breakage,Broken or damaged component,Use Error,1,Skin/Subcutaneous Injury (Laceration),productSticking,error456,User error,United Kingdom
C018,2023-09-27,2023-09-28,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,Implant extruded unexpectedly,Misfired staple,Confirmed no defect,Misfire,Foreign Material in/on Device,Use Error,1,No Harm,performance,error456,Battery failure,NorthAmerica
C019,2023-08-29,2023-09-04,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device broke during procedure,Operator reported difficulty in device deployment,Peeling packaging,Battery drained,Breakage,Device Did Not Operate as Intended,Use Error,0,Tissue Reaction,wrongComponent,error456,Mechanical jam,Europe
C020,2023-10-25,2023-11-01,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,No adverse outcome observed despite malfunction,Operator reported difficulty in device deployment,Incorrect labeling,Mechanical jam,Breakage,Foreign Material in/on Device,Malfunction,0,Near Miss,productSticking,error456,User error,NorthAmerica
C021,2023-11-02,2023-11-05,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Stapler failed to fire during anastomosis,Device misfired on first activation,Misfired staple,Mechanical jam,Failure to fire,Device Did Not Operate as Intended,Malfunction,0,Near Miss,doesNotPerformProperly,fault123,Mechanical jam,Europe
C022,2023-11-04,2023-11-07,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Stapler jammed mid-procedure,"During surgery, the stapler mechanism jammed",Foreign particle inside device,Mechanical jam,Misfire,Device Did Not Operate as Intended,Malfunction,0,No Harm,doesNotPerformProperly,error456,Material degradation,NorthAmerica
C023,2023-11-07,2023-11-10,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device failed to deploy staples,"Device did not operate as expected, causing near miss",Misfired staple,Mechanical jam,Failure to fire,Device Did Not Operate as Intended,Malfunction,1,Near Miss,doesNotPerformProperly,fault123,Mechanical jam,United Kingdom
C024,2023-11-09,2023-11-12,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Staple line incomplete causing bleeding,Patient experienced a small cut,Misfired staple,Material tear,Misfire,Device Did Not Operate as Intended,Adverse Event,1,Skin/Subcutaneous Injury (Laceration),laceration,error456,Mechanical jam,Europe
C025,2023-11-11,2023-11-14,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Handle cracked during activation,Component snapped under normal force,Broken component,Material tear,Breakage,Broken or damaged component,Malfunction,0,No Harm,brokenOrDamagedComponent,fault123,Material degradation,NorthAmerica
C026,2023-11-14,2023-11-17,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Stapler misfired causing laceration,Patient experienced a small cut,Misfired staple,Mechanical jam,Misfire,Device Did Not Operate as Intended,Adverse Event,1,Skin/Subcutaneous Injury (Laceration),laceration,error456,Mechanical jam,United Kingdom
C027,2023-11-16,2023-11-19,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Device would not fire after clamping,"Device did not operate as expected, causing near miss",Misfired staple,Mechanical jam,Failure to fire,Device Did Not Operate as Intended,Use Error,0,Near Miss,doesNotPerformProperly,fault123,Mechanical jam,Europe
C028,2023-11-18,2023-11-21,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Articulating joint seized during positioning,Operator reported stiff articulation joint,Rigid joint,Mechanical jam,Mechanism stiffness,Device Did Not Operate as Intended,Malfunction,0,No Harm,rigidJoints,,Material degradation,NorthAmerica
C029,2023-11-21,2023-11-24,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Foreign particle observed in cartridge,Debris found inside staple cartridge before use,Foreign particle inside device,Confirmed no defect,Contamination,Foreign Material in/on Device,Malfunction,0,No Harm,foreignMaterial,,Packaging issue,Europe
C030,2023-11-23,2023-11-26,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Stapler failed to complete firing stroke,Device misfired on second activation attempt,Misfired staple,Mechanical jam,Failure to fire,Device Did Not Operate as Intended,Malfunction,1,Near Miss,doesNotPerformProperly,fault123,Mechanical jam,United Kingdom
C031,2023-11-26,2023-11-29,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Customer reported unusual discoloration of handle housing,Handle housing showed yellow discoloration out of box,Cosmetic anomaly,,,,Malfunction,0,No Harm,,,,Europe
C032,2023-11-28,2023-11-30,Stapler-X100,Laparoscopic Stapler X100,UDI-12345,Display window fogged and unreadable,"Counter display window fogged, count unreadable",Display anomaly,,,,Malfunction,0,No Harm,,,,NorthAmerica
